game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
St. Thomas (MN)@Fordham,11/15/2021,10,Kyle Rose,37:00,22,1.692,11,7,4,63.6%,2,0,-,-,0,0,2,0,2,0.00,6,3,3,2,3,0.67,8,90.9%,86.2%,13,-,-,-,1,1,0,100.0%,10,6,4,60.0%,0.91,4,2,2,50.0%,0.36,0,0,0,20.9,0.0%,0.0%,0.0%,0.0%,26,-,-,-,-,-,-,-,-,0.0%
St. Thomas (MN)@Fordham,11/15/2021,15,Rostyslav Novitskyi,14:00,4,1.000,2,2,0,100.0%,1,2,0.50,0.00,0,0,1,0,1,0.00,3,0,3,0,0,0.00,-8,100.0%,100.0%,2,-,-,-,2,2,0,100.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,3.7,50.0%,0.0%,0.0%,0.0%,7,-,-,-,-,-,-,-,-,0.0%
St. Thomas (MN)@Fordham,11/15/2021,21,Josh Navarro,12:00,4,1.333,1,1,0,100.0%,1,1,1.00,1.00,1,0,0,0,1,0.00,1,1,0,2,2,0.00,-10,150.0%,106.4%,2,-,-,-,0,0,0,-,1,1,0,100.0%,1.00,2,1,1,50.0%,2.00,0,0,0,3.9,33.3%,0.0%,0.0%,0.0%,6,-,-,-,-,-,-,-,-,0.0%
St. Thomas (MN)@Fordham,11/15/2021,24,Antrell Charlton,31:00,11,1.222,9,5,4,55.6%,3,0,-,-,0,0,0,0,0,0.00,5,1,4,1,3,0.00,15,61.1%,58.3%,9,-,-,-,5,4,1,80.0%,4,1,3,25.0%,0.44,1,0,1,0.0%,0.11,1,0,0,9.1,0.0%,11.1%,0.0%,0.0%,17,-,-,-,-,-,-,-,-,0.0%
St. Thomas (MN)@Fordham,11/15/2021,30,Abdou Tsimbila,05:00,2,2.000,1,1,0,100.0%,0,0,-,-,0,0,0,0,0,0.00,0,0,0,0,2,0.00,-7,100.0%,100.0%,1,-,-,-,1,1,0,100.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,0.9,0.0%,0.0%,0.0%,0.0%,2,-,-,-,-,-,-,-,-,0.0%
St. Thomas (MN)@Fordham,11/15/2021,50,Ahmad Harrison,02:00,0,-,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,0,1,0.00,-3,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,-0.4,-,-,-,-,0,-,-,-,-,-,-,-,-,-
game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Maryland-Eastern Shore@Fordham,11/19/2021,1,Chuba Ohams,42:00,10,0.667,9,2,7,22.2%,1,3,0.33,0.33,1,1,3,0,4,0.00,12,3,9,4,4,0.75,1,22.2%,39.9%,13,-,-,-,8,2,6,25.0%,1,0,1,0.0%,0.11,8,6,2,75.0%,0.89,0,0,0,7.7,20.0%,0.0%,0.0%,0.0%,14,-,-,-,-,-,-,-,-,0.0%
Maryland-Eastern Shore@Fordham,11/19/2021,3,Darius Quisenberry,46:00,25,1.087,18,8,10,44.4%,1,3,0.33,0.00,0,2,0,0,0,0.00,1,0,1,3,3,0.00,7,55.6%,59.3%,21,-,-,-,8,4,4,50.0%,10,4,6,40.0%,0.56,7,5,2,71.4%,0.39,0,0,0,11.6,13.0%,0.0%,0.0%,0.0%,25,-,-,-,-,-,-,-,-,0.0%
Maryland-Eastern Shore@Fordham,11/19/2021,5,Antonio Daye Jr.,49:00,20,0.870,14,7,7,50.0%,5,7,0.71,0.43,3,5,0,0,3,0.00,1,0,1,6,4,0.00,-2,53.6%,57.1%,18,-,-,-,9,6,3,66.7%,5,1,4,20.0%,0.36,8,5,3,62.5%,0.57,1,0,0,10.0,30.4%,4.3%,0.0%,0.0%,32,-,-,-,-,-,-,-,-,0.0%
