game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Binghamton@Columbia,11/17/2021,0,Jaden Cooper,12:00,3,0.600,3,1,2,33.3%,1,2,0.50,0.00,0,2,0,0,0,0.00,3,2,1,0,1,0.00,-8,50.0%,50.0%,3,-,-,-,2,0,2,0.0%,1,1,0,100.0%,0.33,0,0,0,-,0.00,0,0,0,1.3,40.0%,0.0%,0.0%,0.0%,7,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,1,Luke Bolster,26:00,8,2.000,2,2,0,100.0%,0,1,0.00,0.00,0,1,0,0,0,0.00,0,0,0,1,1,0.00,24,150.0%,138.9%,3,-,-,-,0,0,0,-,2,2,0,100.0%,1.00,2,2,0,100.0%,1.00,0,0,0,6.0,25.0%,0.0%,0.0%,0.0%,8,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,3,Zavian McLean,34:00,13,0.867,14,5,9,35.7%,1,1,1.00,0.00,0,0,1,0,1,0.00,3,0,3,2,1,1.00,15,39.3%,43.7%,15,-,-,-,10,4,6,40.0%,4,1,3,25.0%,0.29,2,2,0,100.0%,0.14,2,0,0,6.1,6.7%,13.3%,0.0%,0.0%,16,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,4,Liam Murphy,25:00,2,0.286,6,0,6,0.0%,2,0,-,-,1,0,1,0,2,0.00,3,1,2,1,0,-,-14,0.0%,14.5%,7,-,-,-,3,0,3,0.0%,3,0,3,0.0%,0.50,2,2,0,100.0%,0.33,0,0,0,2.2,0.0%,0.0%,0.0%,0.0%,8,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,5,Emmanuel Onuama,02:00,0,-,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,-,4,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.0,-,-,-,-,0,-,-,-,-,-,-,-,-,- 
Binghamton@Columbia,11/17/2021,11,Josh Odunowo,31:00,16,1.455,9,6,3,66.7%,2,0,-,-,0,0,5,0,5,0.00,10,3,7,3,2,2.50,20,66.7%,74.3%,11,-,-,-,9,6,3,66.7%,0,0,0,-,0.00,4,4,0,100.0%,0.44,0,0,0,20.4,0.0%,0.0%,0.0%,0.0%,22,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,12,Cameron Shockley-Okeke,10:00,4,0.800,5,2,3,40.0%,1,0,-,-,0,0,1,0,1,0.00,0,0,0,0,1,1.00,-15,40.0%,40.0%,5,-,-,-,5,2,3,40.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,2.3,0.0%,0.0%,0.0%,0.0%,6,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,15,Geronimo Rubio De La Rosa,31:00,21,1.105,14,8,6,57.1%,6,2,3.00,1.50,3,1,0,0,3,0.00,4,0,4,4,2,0.00,7,60.7%,66.6%,16,-,-,-,7,7,0,100.0%,7,1,6,14.3%,0.50,4,4,0,100.0%,0.29,0,0,0,20.0,10.5%,0.0%,0.0%,0.0%,36,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,20,Robbie Stankard,10:00,3,0.600,2,1,1,50.0%,0,3,0.00,0.00,0,1,0,0,0,0.00,4,1,3,0,3,0.00,5,75.0%,75.0%,2,-,-,-,1,0,1,0.0%,1,1,0,100.0%,0.50,0,0,0,-,0.00,0,0,0,-0.6,60.0%,0.0%,0.0%,0.0%,3,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,25,Patrick Harding,10:00,0,0.000,1,0,1,0.0%,1,1,1.00,0.00,0,0,0,0,0,0.00,2,0,2,0,4,0.00,-13,0.0%,0.0%,1,-,-,-,1,0,1,0.0%,0,0,0,-,0.00,0,0,0,-,0.00,0,0,0,-2.0,50.0%,0.0%,0.0%,0.0%,2,-,-,-,-,-,-,-,-,0.0%
